term,definition
A,",The first letter of the English and of many other alphabets. The capital A of the alphabets of Middle and Western Europe, as also the small letter (a), besides the forms in Ita…"
A-,",A, as a prefix to English words, is derived from various sources. (1) It frequently signifies on or in (from an, a forms of AS. on), denoting a state, as in afoot, on foot, abe…"
A 1,",A registry mark given by underwriters (as at Lloyd's) to ships in first-class condition. Inferior grades are indicated by A 2 and A 3."
Aam,"n.,A Dutch and German measure of liquids, varying in different cities, being at Amsterdam about 41 wine gallons, at Antwerp 36 1/2, at Hamburg 38 1/4."
Aard-vark,"n.,An edentate mammal, of the genus Orycteropus, somewhat resembling a pig, common in some parts of Southern Africa. It burrows in the ground, and feeds entirely on ants, which…"
Aard-wolf,"n.,A carnivorous quadruped (Proteles Lalandii), of South Africa, resembling the fox and hyena. See Proteles."
Aaronic,"a.,Alt. of Aaronical"
Aaronical,"a.,Pertaining to Aaron, the first high priest of the Jews."
Aaron's rod,",A rod with one serpent twined around it, thus differing from the caduceus of Mercury, which has two."
Ab-,",A prefix in many words of Latin origin. It signifies from, away , separating, or departure, as in abduct, abstract, abscond. See A-(6)."
Ab,"n.,The fifth month of the Jewish year according to the ecclesiastical reckoning, the eleventh by the civil computation, coinciding nearly with August."
Abaca,"n.,The Manila-hemp plant (Musa textilis); also, its fiber. See Manila hemp under Manila."
Abacinate,"v. t.,To blind by a red-hot metal plate held before the eyes."
Abacination,"n.,The act of abacinating."
Abaciscus,"n.,One of the tiles or squares of a tessellated pavement; an abaculus."
Abacist,"n.,One who uses an abacus in casting accounts; a calculator."
Aback,"adv.,Toward the back or rear; backward."
Abactinal,"a.,Pertaining to the surface or end opposite to the mouth in a radiate animal; -- opposed to actinal."
Abaction,"n.,Stealing cattle on a large scale."
Abactor,"n.,One who steals and drives away cattle or beasts by herds or droves."
Abaculi,"pl. ,of Abaculus"
Abaculus,"n.,A small tile of glass, marble, or other substance, of various colors, used in making ornamental patterns in mosaic pavements."
Abacuses,"pl. ,of Abacus"
Abaci,"pl. ,of Abacus"
Abacus,"n.,A table or tray strewn with sand, anciently used for drawing, calculating, etc."
Abada,"n.,The rhinoceros."
Abaddon,"n.,The destroyer, or angel of the bottomless pit; -- the same as Apollyon and Asmodeus."
Abaft,"prep.,Behind; toward the stern from; as, abaft the wheelhouse."
Abaisance,"n.,Obeisance."
Abaiser,"n.,Ivory black or animal charcoal."
Abaist,"p. p.,Abashed; confounded; discomfited."
Abalienate,"v. t.,To transfer the title of from one to another; to alienate."
